term_str,n,p,i,n_chars,max_pos_group,max_pos,stop,porter_stem,df,idf,dfidf
dizzy,2,2.1401819154628142e-05,15.511907043519884,5,VB,VB,0,dizzi,1.0,3.4594316186372973,3.4594316186372973
rooted,2,2.1401819154628142e-05,15.511907043519884,6,VB,VBN,0,root,1.0,3.4594316186372973,3.4594316186372973
lightweight,2,2.1401819154628142e-05,15.511907043519884,11,JJ,JJ,0,lightweight,1.0,3.4594316186372973,3.4594316186372973
riches,2,2.1401819154628142e-05,15.511907043519884,6,NN,NNS,0,rich,2.0,2.4594316186372973,4.918863237274595
filler,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,filler,1.0,3.4594316186372973,3.4594316186372973
whatifs,2,2.1401819154628142e-05,15.511907043519884,7,JJ,JJ,0,whatif,2.0,2.4594316186372973,4.918863237274595
period,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,period,1.0,3.4594316186372973,3.4594316186372973
glorious,2,2.1401819154628142e-05,15.511907043519884,8,JJ,JJ,0,gloriou,1.0,3.4594316186372973,3.4594316186372973
bathroom,2,2.1401819154628142e-05,15.511907043519884,8,NN,NN,0,bathroom,1.0,3.4594316186372973,3.4594316186372973
earthquake,2,2.1401819154628142e-05,15.511907043519884,10,NN,NN,0,earthquak,1.0,3.4594316186372973,3.4594316186372973
dappled,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBN,0,dappl,1.0,3.4594316186372973,3.4594316186372973
jolene,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,jolen,2.0,2.4594316186372973,4.918863237274595
flame,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,flame,1.0,3.4594316186372973,3.4594316186372973
twin,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,twin,1.0,3.4594316186372973,3.4594316186372973
lemonade,2,2.1401819154628142e-05,15.511907043519884,8,NN,NNP,0,lemonad,1.0,3.4594316186372973,3.4594316186372973
97,2,2.1401819154628142e-05,15.511907043519884,2,CD,CD,0,97,1.0,3.4594316186372973,3.4594316186372973
tied,2,2.1401819154628142e-05,15.511907043519884,4,VB,VBN,0,tie,2.0,2.4594316186372973,4.918863237274595
heartbreak,2,2.1401819154628142e-05,15.511907043519884,10,NN,NN,0,heartbreak,2.0,2.4594316186372973,4.918863237274595
oath,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,oath,1.0,3.4594316186372973,3.4594316186372973
swing,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,swing,1.0,3.4594316186372973,3.4594316186372973
smash,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,smash,1.0,3.4594316186372973,3.4594316186372973
numbers,2,2.1401819154628142e-05,15.511907043519884,7,NN,NNS,0,number,2.0,2.4594316186372973,4.918863237274595
blocked,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBN,0,block,1.0,3.4594316186372973,3.4594316186372973
unfollow,2,2.1401819154628142e-05,15.511907043519884,8,JJ,JJ,0,unfollow,1.0,3.4594316186372973,3.4594316186372973
latenight,2,2.1401819154628142e-05,15.511907043519884,9,JJ,JJ,0,latenight,1.0,3.4594316186372973,3.4594316186372973
reached,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBD,0,reach,1.0,3.4594316186372973,3.4594316186372973
lifeless,2,2.1401819154628142e-05,15.511907043519884,8,NN,NN,0,lifeless,1.0,3.4594316186372973,3.4594316186372973
ray,2,2.1401819154628142e-05,15.511907043519884,3,NN,NN,0,ray,2.0,2.4594316186372973,4.918863237274595
stomach,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,stomach,1.0,3.4594316186372973,3.4594316186372973
findin,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,findin,1.0,3.4594316186372973,3.4594316186372973
emotions,2,2.1401819154628142e-05,15.511907043519884,8,NN,NNS,0,emot,2.0,2.4594316186372973,4.918863237274595
survive,2,2.1401819154628142e-05,15.511907043519884,7,VB,VB,0,surviv,2.0,2.4594316186372973,4.918863237274595
affairs,2,2.1401819154628142e-05,15.511907043519884,7,NN,NNS,0,affair,1.0,3.4594316186372973,3.4594316186372973
judgement,2,2.1401819154628142e-05,15.511907043519884,9,JJ,JJ,0,judgement,1.0,3.4594316186372973,3.4594316186372973
superstar,2,2.1401819154628142e-05,15.511907043519884,9,NN,NN,0,superstar,2.0,2.4594316186372973,4.918863237274595
loop,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,loop,1.0,3.4594316186372973,3.4594316186372973
trace,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,trace,1.0,3.4594316186372973,3.4594316186372973
z,2,2.1401819154628142e-05,15.511907043519884,1,VB,VB,0,z,1.0,3.4594316186372973,3.4594316186372973
cages,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNS,0,cage,1.0,3.4594316186372973,3.4594316186372973
fella,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,fella,2.0,2.4594316186372973,4.918863237274595
chaka,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNP,0,chaka,1.0,3.4594316186372973,3.4594316186372973
khan,2,2.1401819154628142e-05,15.511907043519884,4,NN,NNP,0,khan,1.0,3.4594316186372973,3.4594316186372973
curve,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,curv,1.0,3.4594316186372973,3.4594316186372973
downs,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNS,0,down,1.0,3.4594316186372973,3.4594316186372973
twentyone,2,2.1401819154628142e-05,15.511907043519884,9,NN,NN,0,twentyon,1.0,3.4594316186372973,3.4594316186372973
relate,2,2.1401819154628142e-05,15.511907043519884,6,VB,VB,0,relat,2.0,2.4594316186372973,4.918863237274595
tou8287,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,tou8287,1.0,3.4594316186372973,3.4594316186372973
deal,2,2.1401819154628142e-05,15.511907043519884,4,VB,VB,0,deal,1.0,3.4594316186372973,3.4594316186372973
stacked,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBD,0,stack,2.0,2.4594316186372973,4.918863237274595
ahyeahyeahyeahyeahyeahyeahyeah,2,2.1401819154628142e-05,15.511907043519884,30,NN,NN,0,ahyeahyeahyeahyeahyeahyeahyeah,1.0,3.4594316186372973,3.4594316186372973
married,2,2.1401819154628142e-05,15.511907043519884,7,JJ,JJ,0,marri,2.0,2.4594316186372973,4.918863237274595
bringin,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,bringin,1.0,3.4594316186372973,3.4594316186372973
trees,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNS,0,tree,2.0,2.4594316186372973,4.918863237274595
brooklyn,2,2.1401819154628142e-05,15.511907043519884,8,NN,NNP,0,brooklyn,1.0,3.4594316186372973,3.4594316186372973
patriarchy,2,2.1401819154628142e-05,15.511907043519884,10,NN,NN,0,patriarchi,1.0,3.4594316186372973,3.4594316186372973
sink,2,2.1401819154628142e-05,15.511907043519884,4,VB,VB,0,sink,1.0,3.4594316186372973,3.4594316186372973
east,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,east,1.0,3.4594316186372973,3.4594316186372973
beginning,2,2.1401819154628142e-05,15.511907043519884,9,NN,NN,0,begin,2.0,2.4594316186372973,4.918863237274595
sho,2,2.1401819154628142e-05,15.511907043519884,3,NN,NN,0,sho,1.0,3.4594316186372973,3.4594316186372973
clandestine,2,2.1401819154628142e-05,15.511907043519884,11,JJ,JJ,0,clandestin,1.0,3.4594316186372973,3.4594316186372973
doublecross,2,2.1401819154628142e-05,15.511907043519884,11,VB,VBP,0,doublecross,1.0,3.4594316186372973,3.4594316186372973
background,2,2.1401819154628142e-05,15.511907043519884,10,NN,NN,0,background,1.0,3.4594316186372973,3.4594316186372973
lyin,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,lyin,2.0,2.4594316186372973,4.918863237274595
gleamin,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBN,0,gleamin,1.0,3.4594316186372973,3.4594316186372973
soaking,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBG,0,soak,1.0,3.4594316186372973,3.4594316186372973
buried,2,2.1401819154628142e-05,15.511907043519884,6,VB,VBN,0,buri,1.0,3.4594316186372973,3.4594316186372973
removed,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBD,0,remov,2.0,2.4594316186372973,4.918863237274595
punch,2,2.1401819154628142e-05,15.511907043519884,5,JJ,JJ,0,punch,1.0,3.4594316186372973,3.4594316186372973
film,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,film,2.0,2.4594316186372973,4.918863237274595
odds,2,2.1401819154628142e-05,15.511907043519884,4,NN,NNS,0,odd,1.0,3.4594316186372973,3.4594316186372973
tub,2,2.1401819154628142e-05,15.511907043519884,3,NN,NN,0,tub,2.0,2.4594316186372973,4.918863237274595
obsessin,2,2.1401819154628142e-05,15.511907043519884,8,IN,IN,0,obsessin,2.0,2.4594316186372973,4.918863237274595
confess,2,2.1401819154628142e-05,15.511907043519884,7,VB,VB,0,confess,2.0,2.4594316186372973,4.918863237274595
flourishing,2,2.1401819154628142e-05,15.511907043519884,11,NN,NN,0,flourish,1.0,3.4594316186372973,3.4594316186372973
mummy,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNP,0,mummi,1.0,3.4594316186372973,3.4594316186372973
swam,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,swam,2.0,2.4594316186372973,4.918863237274595
settle,2,2.1401819154628142e-05,15.511907043519884,6,VB,VB,0,settl,2.0,2.4594316186372973,4.918863237274595
lied,2,2.1401819154628142e-05,15.511907043519884,4,VB,VBD,0,lie,1.0,3.4594316186372973,3.4594316186372973
describe,2,2.1401819154628142e-05,15.511907043519884,8,VB,VB,0,describ,1.0,3.4594316186372973,3.4594316186372973
bowl,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,bowl,1.0,3.4594316186372973,3.4594316186372973
hill,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,hill,2.0,2.4594316186372973,4.918863237274595
sees,2,2.1401819154628142e-05,15.511907043519884,4,VB,VBZ,0,see,2.0,2.4594316186372973,4.918863237274595
princess,2,2.1401819154628142e-05,15.511907043519884,8,NN,NN,0,princess,1.0,3.4594316186372973,3.4594316186372973
stays,2,2.1401819154628142e-05,15.511907043519884,5,VB,VBZ,0,stay,2.0,2.4594316186372973,4.918863237274595
horoscopes,2,2.1401819154628142e-05,15.511907043519884,10,NN,NNS,0,horoscop,1.0,3.4594316186372973,3.4594316186372973
unfold,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,unfold,1.0,3.4594316186372973,3.4594316186372973
exfactor,2,2.1401819154628142e-05,15.511907043519884,8,NN,NN,0,exfactor,1.0,3.4594316186372973,3.4594316186372973
quietly,2,2.1401819154628142e-05,15.511907043519884,7,RB,RB,0,quietli,2.0,2.4594316186372973,4.918863237274595
animal,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,anim,2.0,2.4594316186372973,4.918863237274595
experience,2,2.1401819154628142e-05,15.511907043519884,10,VB,VB,0,experi,2.0,2.4594316186372973,4.918863237274595
merry,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNP,0,merri,1.0,3.4594316186372973,3.4594316186372973
hours,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNS,0,hour,1.0,3.4594316186372973,3.4594316186372973
1,2,2.1401819154628142e-05,15.511907043519884,1,CD,CD,0,1,2.0,2.4594316186372973,4.918863237274595
explain,2,2.1401819154628142e-05,15.511907043519884,7,VB,VB,0,explain,2.0,2.4594316186372973,4.918863237274595
glaad,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNP,0,glaad,1.0,3.4594316186372973,3.4594316186372973
platter,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,platter,1.0,3.4594316186372973,3.4594316186372973
faked,2,2.1401819154628142e-05,15.511907043519884,5,VB,VBD,0,fake,1.0,3.4594316186372973,3.4594316186372973
wedding,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,wed,2.0,2.4594316186372973,4.918863237274595
terrified,2,2.1401819154628142e-05,15.511907043519884,9,JJ,JJ,0,terrifi,2.0,2.4594316186372973,4.918863237274595
island,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,island,1.0,3.4594316186372973,3.4594316186372973
sides,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNS,0,side,1.0,3.4594316186372973,3.4594316186372973
runnin92,2,2.1401819154628142e-05,15.511907043519884,8,NN,NN,0,runnin92,2.0,2.4594316186372973,4.918863237274595
united,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,unit,1.0,3.4594316186372973,3.4594316186372973
bodies,2,2.1401819154628142e-05,15.511907043519884,6,NN,NNS,0,bodi,1.0,3.4594316186372973,3.4594316186372973
potential,2,2.1401819154628142e-05,15.511907043519884,9,JJ,JJ,0,potenti,2.0,2.4594316186372973,4.918863237274595
acid,2,2.1401819154628142e-05,15.511907043519884,4,JJ,JJ,0,acid,1.0,3.4594316186372973,3.4594316186372973
prince,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,princ,1.0,3.4594316186372973,3.4594316186372973
desperately,2,2.1401819154628142e-05,15.511907043519884,11,RB,RB,0,desper,2.0,2.4594316186372973,4.918863237274595
failure,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,failur,2.0,2.4594316186372973,4.918863237274595
tidy,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,tidi,1.0,3.4594316186372973,3.4594316186372973
lets,2,2.1401819154628142e-05,15.511907043519884,4,NN,NNS,0,let,2.0,2.4594316186372973,4.918863237274595
doodadadadadadadadah,2,2.1401819154628142e-05,15.511907043519884,20,NN,NNP,0,doodadadadadadadadah,1.0,3.4594316186372973,3.4594316186372973
constant,2,2.1401819154628142e-05,15.511907043519884,8,JJ,JJ,0,constant,1.0,3.4594316186372973,3.4594316186372973
father,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,father,2.0,2.4594316186372973,4.918863237274595
gravity,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,graviti,2.0,2.4594316186372973,4.918863237274595
align,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,align,1.0,3.4594316186372973,3.4594316186372973
ages,2,2.1401819154628142e-05,15.511907043519884,4,NN,NNS,0,age,1.0,3.4594316186372973,3.4594316186372973
staring,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBG,0,stare,2.0,2.4594316186372973,4.918863237274595
mistaken,2,2.1401819154628142e-05,15.511907043519884,8,VB,VBN,0,mistaken,2.0,2.4594316186372973,4.918863237274595
streets,2,2.1401819154628142e-05,15.511907043519884,7,NN,NNS,0,street,2.0,2.4594316186372973,4.918863237274595
crossed,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBN,0,cross,1.0,3.4594316186372973,3.4594316186372973
pillow,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,pillow,1.0,3.4594316186372973,3.4594316186372973
circle,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,circl,2.0,2.4594316186372973,4.918863237274595
beneficial,2,2.1401819154628142e-05,15.511907043519884,10,JJ,JJ,0,benefici,1.0,3.4594316186372973,3.4594316186372973
became,2,2.1401819154628142e-05,15.511907043519884,6,VB,VBD,0,becam,2.0,2.4594316186372973,4.918863237274595
survived,2,2.1401819154628142e-05,15.511907043519884,8,VB,VBN,0,surviv,1.0,3.4594316186372973,3.4594316186372973
saviour,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,saviour,1.0,3.4594316186372973,3.4594316186372973
darkness,2,2.1401819154628142e-05,15.511907043519884,8,NN,NN,0,dark,2.0,2.4594316186372973,4.918863237274595
clarity,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,clariti,2.0,2.4594316186372973,4.918863237274595
incredible,2,2.1401819154628142e-05,15.511907043519884,10,JJ,JJ,0,incred,2.0,2.4594316186372973,4.918863237274595
tease,2,2.1401819154628142e-05,15.511907043519884,5,VB,VBP,0,teas,2.0,2.4594316186372973,4.918863237274595
grass,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,grass,2.0,2.4594316186372973,4.918863237274595
yeaheh,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,yeaheh,1.0,3.4594316186372973,3.4594316186372973
countin,2,2.1401819154628142e-05,15.511907043519884,7,JJ,JJ,0,countin,2.0,2.4594316186372973,4.918863237274595
places,2,2.1401819154628142e-05,15.511907043519884,6,NN,NNS,0,place,2.0,2.4594316186372973,4.918863237274595
complete,2,2.1401819154628142e-05,15.511907043519884,8,JJ,JJ,0,complet,1.0,3.4594316186372973,3.4594316186372973
braver,2,2.1401819154628142e-05,15.511907043519884,6,RB,RB,0,braver,1.0,3.4594316186372973,3.4594316186372973
joke,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,joke,2.0,2.4594316186372973,4.918863237274595
thrown,2,2.1401819154628142e-05,15.511907043519884,6,VB,VBN,0,thrown,1.0,3.4594316186372973,3.4594316186372973
eat,2,2.1401819154628142e-05,15.511907043519884,3,VB,VB,0,eat,2.0,2.4594316186372973,4.918863237274595
flashing,2,2.1401819154628142e-05,15.511907043519884,8,VB,VBG,0,flash,1.0,3.4594316186372973,3.4594316186372973
rocks,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNS,0,rock,2.0,2.4594316186372973,4.918863237274595
fading,2,2.1401819154628142e-05,15.511907043519884,6,VB,VBG,0,fade,1.0,3.4594316186372973,3.4594316186372973
art,2,2.1401819154628142e-05,15.511907043519884,3,NN,NN,0,art,1.0,3.4594316186372973,3.4594316186372973
baitandswitch,2,2.1401819154628142e-05,15.511907043519884,13,NN,NN,0,baitandswitch,1.0,3.4594316186372973,3.4594316186372973
bang,2,2.1401819154628142e-05,15.511907043519884,4,NN,NNP,0,bang,1.0,3.4594316186372973,3.4594316186372973
wawake,2,2.1401819154628142e-05,15.511907043519884,6,VB,VB,0,wawak,1.0,3.4594316186372973,3.4594316186372973
shallow,2,2.1401819154628142e-05,15.511907043519884,7,JJ,JJ,0,shallow,1.0,3.4594316186372973,3.4594316186372973
impossible,2,2.1401819154628142e-05,15.511907043519884,10,JJ,JJ,0,imposs,1.0,3.4594316186372973,3.4594316186372973
cute,2,2.1401819154628142e-05,15.511907043519884,4,JJ,JJ,0,cute,1.0,3.4594316186372973,3.4594316186372973
woohoo,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,woohoo,1.0,3.4594316186372973,3.4594316186372973
openshut,2,2.1401819154628142e-05,15.511907043519884,8,JJ,JJ,0,openshut,1.0,3.4594316186372973,3.4594316186372973
witness,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,wit,2.0,2.4594316186372973,4.918863237274595
locked,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,lock,2.0,2.4594316186372973,4.918863237274595
loaded,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,load,2.0,2.4594316186372973,4.918863237274595
dynasty,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,dynasti,1.0,3.4594316186372973,3.4594316186372973
pouted,2,2.1401819154628142e-05,15.511907043519884,6,VB,VBD,0,pout,1.0,3.4594316186372973,3.4594316186372973
poison,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,poison,2.0,2.4594316186372973,4.918863237274595
shades,2,2.1401819154628142e-05,15.511907043519884,6,NN,NNS,0,shade,2.0,2.4594316186372973,4.918863237274595
oughta,2,2.1401819154628142e-05,15.511907043519884,6,VB,VBP,0,oughta,1.0,3.4594316186372973,3.4594316186372973
cardio,2,2.1401819154628142e-05,15.511907043519884,6,NN,NNP,0,cardio,1.0,3.4594316186372973,3.4594316186372973
steering,2,2.1401819154628142e-05,15.511907043519884,8,VB,VBG,0,steer,1.0,3.4594316186372973,3.4594316186372973
iko,2,2.1401819154628142e-05,15.511907043519884,3,NN,NNP,0,iko,1.0,3.4594316186372973,3.4594316186372973
desire,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,desir,2.0,2.4594316186372973,4.918863237274595
lovestruck,2,2.1401819154628142e-05,15.511907043519884,10,JJ,JJ,0,lovestruck,1.0,3.4594316186372973,3.4594316186372973
sexy,2,2.1401819154628142e-05,15.511907043519884,4,JJ,JJ,0,sexi,2.0,2.4594316186372973,4.918863237274595
lovesick,2,2.1401819154628142e-05,15.511907043519884,8,VB,VBP,0,lovesick,1.0,3.4594316186372973,3.4594316186372973
tone,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,tone,2.0,2.4594316186372973,4.918863237274595
screen,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,screen,1.0,3.4594316186372973,3.4594316186372973
sins,2,2.1401819154628142e-05,15.511907043519884,4,NN,NNS,0,sin,1.0,3.4594316186372973,3.4594316186372973
guc0u1077,2,2.1401819154628142e-05,15.511907043519884,9,JJ,JJ,0,guc0u1077,1.0,3.4594316186372973,3.4594316186372973
tting,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,tting,1.0,3.4594316186372973,3.4594316186372973
receiving,2,2.1401819154628142e-05,15.511907043519884,9,VB,VBG,0,receiv,2.0,2.4594316186372973,4.918863237274595
learnin,2,2.1401819154628142e-05,15.511907043519884,7,NN,NNP,0,learnin,1.0,3.4594316186372973,3.4594316186372973
quickly,2,2.1401819154628142e-05,15.511907043519884,7,RB,RB,0,quickli,1.0,3.4594316186372973,3.4594316186372973
fickle,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,fickl,1.0,3.4594316186372973,3.4594316186372973
bitterness,2,2.1401819154628142e-05,15.511907043519884,10,NN,NN,0,bitter,1.0,3.4594316186372973,3.4594316186372973
dried,2,2.1401819154628142e-05,15.511907043519884,5,VB,VBN,0,dri,2.0,2.4594316186372973,4.918863237274595
froze,2,2.1401819154628142e-05,15.511907043519884,5,JJ,JJ,0,froze,2.0,2.4594316186372973,4.918863237274595
courage,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,courag,2.0,2.4594316186372973,4.918863237274595
headaches,2,2.1401819154628142e-05,15.511907043519884,9,NN,NNS,0,headach,1.0,3.4594316186372973,3.4594316186372973
issues,2,2.1401819154628142e-05,15.511907043519884,6,NN,NNS,0,issu,1.0,3.4594316186372973,3.4594316186372973
cleared,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBN,0,clear,1.0,3.4594316186372973,3.4594316186372973
longs,2,2.1401819154628142e-05,15.511907043519884,5,VB,VBZ,0,long,2.0,2.4594316186372973,4.918863237274595
core,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,core,1.0,3.4594316186372973,3.4594316186372973
waves,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNS,0,wave,2.0,2.4594316186372973,4.918863237274595
92head,2,2.1401819154628142e-05,15.511907043519884,6,PR,PRP,0,92head,1.0,3.4594316186372973,3.4594316186372973
compare,2,2.1401819154628142e-05,15.511907043519884,7,VB,VB,0,compar,2.0,2.4594316186372973,4.918863237274595
trippin,2,2.1401819154628142e-05,15.511907043519884,7,JJ,JJ,0,trippin,1.0,3.4594316186372973,3.4594316186372973
smirk,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,smirk,1.0,3.4594316186372973,3.4594316186372973
lifetime,2,2.1401819154628142e-05,15.511907043519884,8,NN,NN,0,lifetim,2.0,2.4594316186372973,4.918863237274595
fabricated,2,2.1401819154628142e-05,15.511907043519884,10,VB,VBN,0,fabric,1.0,3.4594316186372973,3.4594316186372973
lotta,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,lotta,1.0,3.4594316186372973,3.4594316186372973
monday,2,2.1401819154628142e-05,15.511907043519884,6,NN,NNP,0,monday,1.0,3.4594316186372973,3.4594316186372973
cutting,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBG,0,cut,2.0,2.4594316186372973,4.918863237274595
au8197,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,au8197,2.0,2.4594316186372973,4.918863237274595
comments,2,2.1401819154628142e-05,15.511907043519884,8,NN,NNS,0,comment,1.0,3.4594316186372973,3.4594316186372973
causuc0u1077,2,2.1401819154628142e-05,15.511907043519884,12,CC,CC,0,causuc0u1077,2.0,2.4594316186372973,4.918863237274595
10,2,2.1401819154628142e-05,15.511907043519884,2,CD,CD,0,10,1.0,3.4594316186372973,3.4594316186372973
jealousridden,2,2.1401819154628142e-05,15.511907043519884,13,JJ,JJ,0,jealousridden,1.0,3.4594316186372973,3.4594316186372973
dododododo,2,2.1401819154628142e-05,15.511907043519884,10,NN,NN,0,dododododo,1.0,3.4594316186372973,3.4594316186372973
trick,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNP,0,trick,1.0,3.4594316186372973,3.4594316186372973
crown,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,crown,1.0,3.4594316186372973,3.4594316186372973
doors,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNS,0,door,2.0,2.4594316186372973,4.918863237274595
sittin,2,2.1401819154628142e-05,15.511907043519884,6,JJ,JJ,0,sittin,2.0,2.4594316186372973,4.918863237274595
actually,2,2.1401819154628142e-05,15.511907043519884,8,RB,RB,0,actual,2.0,2.4594316186372973,4.918863237274595
dealt,2,2.1401819154628142e-05,15.511907043519884,5,JJ,JJ,0,dealt,2.0,2.4594316186372973,4.918863237274595
understanding,2,2.1401819154628142e-05,15.511907043519884,13,JJ,JJ,0,understand,1.0,3.4594316186372973,3.4594316186372973
hating,2,2.1401819154628142e-05,15.511907043519884,6,VB,VBG,0,hate,1.0,3.4594316186372973,3.4594316186372973
mmh,2,2.1401819154628142e-05,15.511907043519884,3,NN,NN,0,mmh,1.0,3.4594316186372973,3.4594316186372973
stead,2,2.1401819154628142e-05,15.511907043519884,5,CD,CD,0,stead,1.0,3.4594316186372973,3.4594316186372973
ghostin,2,2.1401819154628142e-05,15.511907043519884,7,NN,NN,0,ghostin,1.0,3.4594316186372973,3.4594316186372973
short,2,2.1401819154628142e-05,15.511907043519884,5,JJ,JJ,0,short,1.0,3.4594316186372973,3.4594316186372973
habit,2,2.1401819154628142e-05,15.511907043519884,5,NN,NN,0,habit,1.0,3.4594316186372973,3.4594316186372973
tangled,2,2.1401819154628142e-05,15.511907043519884,7,VB,VBD,0,tangl,1.0,3.4594316186372973,3.4594316186372973
sheets,2,2.1401819154628142e-05,15.511907043519884,6,NN,NNS,0,sheet,1.0,3.4594316186372973,3.4594316186372973
scats,2,2.1401819154628142e-05,15.511907043519884,5,NN,NNPS,0,scat,1.0,3.4594316186372973,3.4594316186372973
halo,2,2.1401819154628142e-05,15.511907043519884,4,NN,NN,0,halo,2.0,2.4594316186372973,4.918863237274595
depend,2,2.1401819154628142e-05,15.511907043519884,6,VB,VB,0,depend,2.0,2.4594316186372973,4.918863237274595
invented,2,2.1401819154628142e-05,15.511907043519884,8,VB,VBD,0,invent,1.0,3.4594316186372973,3.4594316186372973
tennis,2,2.1401819154628142e-05,15.511907043519884,6,NN,NN,0,tenni,1.0,3.4594316186372973,3.4594316186372973
selfish,2,2.1401819154628142e-05,15.511907043519884,7,JJ,JJ,0,selfish,1.0,3.4594316186372973,3.4594316186372973
overthinking,2,2.1401819154628142e-05,15.511907043519884,12,VB,VBG,0,overthink,1.0,3.4594316186372973,3.4594316186372973
obsessive,2,2.1401819154628142e-05,15.511907043519884,9,JJ,JJ,0,obsess,1.0,3.4594316186372973,3.4594316186372973
loneliness,2,2.1401819154628142e-05,15.511907043519884,10,NN,NN,0,loneli,2.0,2.4594316186372973,4.918863237274595
heaviness,2,2.1401819154628142e-05,15.511907043519884,9,NN,NN,0,heavi,1.0,3.4594316186372973,3.4594316186372973
